text,ground truth,CER,posterior probability,mean sequence probability,min sequence probability,mean sequence entropy,mean sequence probablity with latex check,probability variance,low confidence ratio,combined score
f(x)=[f(A)-f(1)].Lx+f(1),f(x)=[f(A)-f(1)].Lx+f(1),0.0,0.9585410356521606,0.9660757184028625,0.5233736634254456,0.1109222967959105,0.9660757184028625,0.011035928502678871,0.0,0.34206136864278086
[\frac{\pi_{6}=\frac{tg}{\pi_{6}}=\frac{tg}{\pi}}],\pi_0=\frac{tg\rho}{\pi},1.6153846153846154,0.7708163261413574,0.8392590880393982,0.0969395861029625,0.7663949843301774,0.0,0.0635991096496582,0.14705882966518402,-0.0
O_{d}(I_{1x})\doteqO_{b}(I_{2t}),O_a(I_{1x})\stackrel{.}{\implies}O_b(I_{2t}),0.3793103448275862,0.9508217573165894,0.9605991840362549,0.4385930597782135,0.13491447480266977,0.9605991840362549,0.013110345229506493,0.03448275849223137,0.32337733199498775
"|\int_{f_1}^{r_2}[v(r,\psi+\omegat/\epsilon)-v_{0}(r)]d\tau|\le\frac{1}{2}\epsilon","|\int_{\tau_1}^{\tau_2}[v(r,\psi+\omega\tau/\epsilon)-v_0(r)]d\tau\parallel\le\frac{1}{2}\epsilon",0.13043478260869565,0.890798807144165,0.9080280661582947,0.3391489088535309,0.34374394371193023,0.9080280661582947,0.023371674120426178,0.03999999910593033,0.21771364915735972
"\tau\in\zeta\langle\tilde{\tau},\tau_1\rangle","\tau\in\langle\tilde{\tau},\tau_1\rangle",0.08333333333333333,0.880659818649292,0.9016927480697632,0.42340561747550964,0.4088385315780367,0.9016927480697632,0.029792573302984238,0.06666667014360428,0.18380835256796976
L_{0}=\{a^{n}|n\ge1\},L_0=\{a^n|n\ge1\},0.3076923076923077,0.9472668170928955,0.9566408395767212,0.5362303256988525,0.11504515150583104,0.9566408395767212,0.014146778732538223,0.0,0.33663827522835604
\alpha(x)-\alpha\le\alpha(1-\delta)\frac{loglog.x}{logx}(x\gex_0),\alpha(x)-\alpha\le\alpha(1-\delta)\frac{\log\logx}{\logx}(x\gex_0),0.1111111111111111,0.9473634958267212,0.9586190581321716,0.4163207411766052,0.17771440232060912,0.9586190581321716,0.014846292324364185,0.025641025975346565,0.30723365712955575
r\ger_0,r\ger_0,0.0,0.9440522193908691,0.9501010775566101,0.7094544172286987,0.13731497259118441,0.9501010775566101,0.011491882614791393,0.0,0.3251144419861703
=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},"=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},",0.03225806451612903,0.9965412020683289,0.996567964553833,0.9623099565505981,0.021080374070164665,0.996567964553833,5.334788511390798e-05,0.0,0.39019503619346735
"tin\beta=b_{i2}\frac{(b)}{(b)}(bosa=\frac{13}{26},4g=1^{a}i_{i};\circ) \cos=\frac{7}{24}",\sin\beta=\frac{4}{9};d) \cos\alpha=\frac{18}{25}\operatorname{tg}\beta=1\frac{5}{9};e) \cos\alpha=\frac{7}{24} \cos\beta=\frac{35}{38},0.5897435897435898,0.7202315926551819,0.7750192284584045,0.21051599085330963,0.9907854330038286,0.7750192284584045,0.06133229658007622,0.2028985619544983,-0.1268861942090693
")m=5,n=3,h=30_{1},s=12,r=20.","m=5,n=3,h=30,s=12,r=20.",0.21739130434782608,0.8997323513031006,0.9404599070549011,0.11192523688077927,0.30903455588505685,0.9404599070549011,0.028343165293335915,0.03333333507180214,0.24590347345357733
tg2a=\frac{2a_{12}}{a_{11}-a_{22}}.,\tan2a=\frac{2a_{12}}{a_{11}-a_{22}}.,0.09090909090909091,0.9508973360061646,0.9564200639724731,0.5606344938278198,0.1574431182649057,0.9564200639724731,0.008676205761730671,0.0,0.319590778283027
|(I-S_{ry}S_{yu})^{-1}S_{ry}||_{M}<\frac{1}{v_{2}(p)},\parallel(I-S_{ry}S_{yu})^{-1}S_{ry}\parallel_M<\frac{1}{v_2(p)},0.1590909090909091,0.9838238954544067,0.9846292734146118,0.7616636157035828,0.06641777855820212,0.9846292734146118,0.0014263741904869676,0.0,0.3672845979425639
B^{0}=\frac{h_{n}}{h\prime_{n}}-1=\frac{h\prime\prime\prime_{n}}{h\prime_{n}},B^0=\frac{h_n}{h\prime\prime_n}-1=\frac{h\prime\prime\prime_n}{h\prime\prime_n},0.3333333333333333,0.9534474015235901,0.9599182605743408,0.46287545561790466,0.1487001181374031,0.9599182605743408,0.009204386733472347,0.021739130839705467,0.320139430806834
"\int_{\mathbf{R}}\omegaz_{k}^{2}dv(z_{1},z_{2},\dots)<\infty","\int_{\mathbf{R}^\infty}z_k^2dv(z_1,z_2,\dots)<\infty",0.36666666666666664,0.9460773468017578,0.9506661891937256,0.666262149810791,0.22262184144666464,0.9506661891937256,0.007809863425791264,0.0,0.2912177390988244
"\langle\overline{T}\delta(u,v);\delta(u,v))=-\sum_{n}\sum_{n=r}\sum_{r}\sum_{r}\delta(n-1)\delta(n,q)S(n+p,m-q)=","\langle\overline{T}\delta(u,v);\delta(u,v)\rangle=\sum_n\sum_m\sum_p\sum_q\delta(n-1,m-1)\delta(p,q)S(n+p,m-q)=",0.3389830508474576,0.8850600719451904,0.9078208804130554,0.18831759691238403,0.3876189266201489,0.9078208804130554,0.025851722806692123,0.029411764815449715,0.2021984285540727
"\beta:=(\lambda,\phi_{1},\dots,\phi_{p})^{T}","\beta:=(\lambda,\phi_1,\dots,\phi_p)^T",0.3333333333333333,0.9182262420654297,0.9342252612113953,0.47964414954185486,0.1733977977645886,0.9342252612113953,0.022723259404301643,0.03846153989434242,0.2966386773998542
+b_{1}t_{1}+b_{2}ttt_{1}+b_{3}t^{2}t_{1}+b_{4}t^{3}t_{1}+\dots,+b_1t_1+b_2tt_1+b_3t^2t_1+b_4t^3t_1+\dots,0.5675675675675675,0.9616573452949524,0.969251275062561,0.3677380681037903,0.12732143370235013,0.969251275062561,0.00958668440580368,0.01666666753590107,0.33343860303690415
Xaop=2\alpha_3,\sphericalangleaop=2\alpha_3,0.6521739130434783,0.9108749628067017,0.918523371219635,0.648807168006897,0.28898657983073106,0.918523371219635,0.013556398451328278,0.0,0.2518147165555616
\Gamma(S)=\Gamma_S(S)+\Gamma_{NS}(S)=0,\mathbf{f}(s)=\mathbf{f}_S(s)+\mathbf{f}_{NS}(s)=\mathbf{0},0.5142857142857142,0.9054217338562012,0.9220499992370605,0.479911744594574,0.18733221526607752,0.9220499992370605,0.02463839016854763,0.03999999910593033,0.2858871137672072
"v_{2}=-\frac{0.19}{lg\frac{z_{3}}{l^{2}}l-\frac{l_{1}26}{|-\frac{l_{1}26}{l}}\frac{H}{l_{1}26}\frac{H}{L},","v*=-\frac{0,19}{\mathrm{lg}\frac{z_0}{H}}\frac{u_2}{1-\frac{0,26}{\mathrm{lg}\frac{z_0}{H}}\frac{H}{L}},",0.5882352941176471,0.7984042167663574,0.8436998128890991,0.22015944123268127,0.675195957106195,0.0,0.05125194042921066,0.1190476194024086,0.0
"\delta_{1}=\frac{V_{1}}{\delta_{1}}=\frac{15}{1000}=0,015","\check{s}_1=\frac{V_1}{\check{s}_1}=\frac{15}{1000}=0,015",0.3076923076923077,0.9801397323608398,0.9826728701591492,0.6367543935775757,0.050268255145045085,0.9826728701591492,0.004071053583174944,0.0,0.37296184600564164
"k=1,2,\dots,n","k=1,2,\dots,n",0.0,0.9995050430297852,0.9995051622390747,0.9980677366256714,0.00463404537486826,0.9995051622390747,2.972163599679334e-07,0.0,0.39794844674568264
